"","X","match_date","hometeam","awayteam","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11"
"4218",4218,"2011-09-11","Norwich","West Brom","Declan Rudd","Leon Barnett","Ritchie De Laet","Marc Tierney","Kyle Naughton","Elliott Bennett","Andrew Crofts","Bradley Johnson","Drew Surman","Grant Holt","Chris Martin","Ben Foster","Jonas Olsson","Paul Scharner","Gabriel Tamas","Steven Reid","Nicky Shorey","Youssef Mulumbu","Jerome Thomas","Graeme Dorrans","Shane Long","Peter Odemwingie"
"4219",4219,"2011-09-12","QPR","Newcastle","Paddy Kenny","Danny Gabbidon","Luke Young","Anton Ferdinand","Shaun Derry","Armand TraorÈ","Joey Barton","Alejandro Faurlin","Adel Taarabt","Shaun Wright-Phillips","Jay Bothroyd","Tim Krul","Danny Simpson","Steven Taylor","Fabricio Coloccini","Jonas Gutierrez","Ryan Taylor","Cheik TiotÈ","Yohan Cabaye","Gabriel Obertan","Shola Ameobi","Leon Best"
"4220",4220,"2011-09-17","Aston Villa","Newcastle","Shay Given","Alan Hutton","James M Collins","Richard Dunne","Stephen Warnock","Barry Bannan","Fabian Delph","Charles N'Zogbia","Stilian Petrov","Gabby Agbonlahor","Darren Bent","Tim Krul","Danny Simpson","Steven Taylor","Fabricio Coloccini","Jonas Gutierrez","Ryan Taylor","Cheik TiotÈ","Yohan Cabaye","Gabriel Obertan","Demba Ba","Leon Best"
"4221",4221,"2011-09-17","Blackburn","Arsenal","Paul Robinson","Michel Salgado","Gael Givet","Scott Dann","Christopher Samba","Mauro Formica","Jason Lowe","Steven N'Zonzi","Junior Hoilett","Ruben Rochina"," Yakubu Ayegbeni","Wojciech Szczesny"," Andre Santos","Laurent Koscielny","Bakary Sagna","Per Mertesacker","Mikel Arteta","Aaron Ramsey","Alex Song","Andrei Arshavin"," Gervinho","Robin Van Persie"
"4222",4222,"2011-09-17","Bolton","Norwich","Jussi J‰‰skel‰inen","Dedryck Boyata","Paul Robinson","Gary Cahill","Zat Knight","Darren Pratley","Nigel Reo-Coker","Kevin Davies","Ivan Klasnic","Martin Petrov"," Tuncay Sanli","John Ruddy","Leon Barnett","Marc Tierney","Russell Martin","Kyle Naughton","Elliott Bennett","Dave Fox","Wes Hoolahan","Bradley Johnson","Anthony Pilkington","Steve Morison"
"4223",4223,"2011-09-17","Everton","Wigan","Tim Howard","Sylvain Distin","Seamus Coleman","Tony Hibbert","Phil Jagielka","Jack Rodwell","Leighton Baines","Marouane Fellaini","Leon Osman","Diniyar Bilyaletdinov","Tim Cahill","Ali Al Habsi","Maynor Figueroa","Adrian Lopez","Patrick Van Aanholt","Gary Caldwell","Jordi GÛmez","James McCarthy","Ben Watson","Victor Moses","Franco Di Santo","Hugo Rodallega"
"4224",4224,"2011-09-17","Swansea","West Brom","Michel Vorm","Angel Rangel","Ashley Williams","Garry Monk","Neil Taylor","Joe Allen","Leon Britton","Mark Gower","Nathan Dyer","Leroy Lita","Scott Sinclair","Ben Foster","Craig Dawson","Jonas Olsson","Paul Scharner","Steven Reid","Nicky Shorey","James Morrison","Youssef Mulumbu","Jerome Thomas","Shane Long","Peter Odemwingie"
"4225",4225,"2011-09-17","Wolves","QPR","Wayne Hennessey","Christophe Berra","George Elokobi","Richard Stearman","Roger Johnson","Stephen Ward","Karl Henry","Matt Jarvis","Jamie O'Hara","Michael Kightly","Kevin Doyle","Paddy Kenny","Danny Gabbidon","Luke Young","Anton Ferdinand","Shaun Derry","Armand TraorÈ","Joey Barton","Alejandro Faurlin","Adel Taarabt","Shaun Wright-Phillips","Jay Bothroyd"
"4226",4226,"2011-09-18","Fulham","Man City","Mark Schwarzer","John Arne Riise","Brede Hangeland","Stephen Kelly","Chris Baird","Moussa DembÈlÈ","Danny Murphy","Steve Sidwell","Clint Dempsey","Damien Duff","Bobby Zamora","Joe Hart","Micah Richards","Vincent Kompany","Joleon Lescott","Gareth Barry","GaÎl Clichy"," David Silva","Samir Nasri","Yaya TourÈ","Sergio Ag¸ero","Edin Dûeko"
"4227",4227,"2011-09-18","Man United","Chelsea","David De Gea","Jonny Evans","Chris Smalling","Phil Jones","Patrice Evra"," Anderson","Darren Fletcher"," Nani","Ashley Young","Javier Hern·ndez","Wayne Rooney","Petr Cech","John Terry","Jose Bosingwa","Branislav Ivanovic","Ashley Cole"," Juan Mata","Frank Lampard"," Ramires"," Raul Meireles","Daniel Sturridge","Fernando Torres"
"4228",4228,"2011-09-18","Sunderland","Stoke","Simon Mignolet","Wes Brown","John O'Shea","Titus Bramble","Ahmed Elmohamady","Craig Gardner","Seb Larsson","Kieran Richardson","David Vaughan","Stephane Sessegnon","Nicklas Bendtner","Asmir Begovic","Robert Huth","Ryan Shawcross","Jonathan Woodgate","Rory Delap","Marc Wilson","Matthew Etherington","Dean Whitehead","Jon Walters","Peter Crouch","Cameron Jerome"
"4229",4229,"2011-09-18","Tottenham","Liverpool","Brad Friedel","Benoit Assou-Ekotto","YounËs Kaboul","Kyle Walker","Gareth Bale","Ledley King","Niko Kranjcar","Luka Modric","Scott Parker","Emmanuel Adebayor","Jermain Defoe","Pepe Reina","Daniel Agger","Martin äkrtel","Jamie Carragher"," Lucas Leiva","Jose Enrique","Charlie Adam","Stewart Downing","Jordan Henderson","Andy Carroll","Luis Su·rez"
"4230",4230,"2011-09-24","Arsenal","Bolton","Wojciech Szczesny","Laurent Koscielny","Bakary Sagna","Per Mertesacker","Kieran Gibbs","Mikel Arteta","Aaron Ramsey","Alex Song"," Gervinho","Robin Van Persie","Theo Walcott","Jussi J‰‰skel‰inen","Paul Robinson","Gretar Steinsson","Zat Knight","David Wheater","Chris Eagles","Fabrice Muamba","Darren Pratley","Nigel Reo-Coker","David N'Gog","Martin Petrov"
"4231",4231,"2011-09-24","Chelsea","Swansea","Petr Cech","John Terry","Jose Bosingwa","Branislav Ivanovic","Ashley Cole"," Juan Mata","John Obi Mikel"," Ramires"," Raul Meireles","Nicolas Anelka","Fernando Torres","Michel Vorm","Angel Rangel","Ashley Williams","Garry Monk","Neil Taylor","Joe Allen","Leon Britton","Mark Gower","Nathan Dyer","Leroy Lita","Scott Sinclair"
"4232",4232,"2011-09-24","Liverpool","Wolves","Pepe Reina","Martin Kelly","Martin äkrtel","Jamie Carragher"," Lucas Leiva","Jose Enrique","Charlie Adam","Stewart Downing","Jordan Henderson","Andy Carroll","Luis Su·rez","Wayne Hennessey","Christophe Berra","Richard Stearman","Roger Johnson","Stephen Ward","David Edwards","Karl Henry","Stephen Hunt","Matt Jarvis","Jamie O'Hara","Kevin Doyle"
"4233",4233,"2011-09-24","Man City","Everton","Joe Hart","Micah Richards","Vincent Kompany","Joleon Lescott","Gareth Barry","GaÎl Clichy"," David Silva","Samir Nasri","Yaya TourÈ","Sergio Ag¸ero","Edin Dûeko","Tim Howard","Sylvain Distin","Seamus Coleman","Tony Hibbert","Phil Jagielka","Phil Neville","Jack Rodwell","Leighton Baines","Marouane Fellaini","Leon Osman","Tim Cahill"
"4234",4234,"2011-09-24","Newcastle","Blackburn","Tim Krul","Danny Simpson","Steven Taylor","Fabricio Coloccini","Jonas Gutierrez","Ryan Taylor","Cheik TiotÈ","Yohan Cabaye","Gabriel Obertan","Demba Ba","Leon Best","Paul Robinson","Michel Salgado","Gael Givet","Scott Dann","Christopher Samba","Martin Olsson","Mauro Formica","Jason Lowe","Steven N'Zonzi","Junior Hoilett"," Yakubu Ayegbeni"
"4235",4235,"2011-09-24","Stoke","Man United","Asmir Begovic","Andy Wilkinson","Ryan Shawcross","Jonathan Woodgate","Rory Delap","Marc Wilson","Matthew Etherington","Jermaine Pennant","Glenn Whelan","Jon Walters","Peter Crouch","David De Gea","Rio Ferdinand","Phil Jones","Antonio Valencia","Patrice Evra"," Anderson","Darren Fletcher"," Nani","Ashley Young","Dimitar Berbatov","Javier Hern·ndez"
"4236",4236,"2011-09-24","West Brom","Fulham","Ben Foster","Gareth McAuley","Jonas Olsson","Steven Reid","Nicky Shorey","Chris Brunt","Youssef Mulumbu","Jerome Thomas","Graeme Dorrans","Shane Long","Peter Odemwingie","Mark Schwarzer","Zdenek Grygera","John Arne Riise","Brede Hangeland","Chris Baird","Moussa DembÈlÈ","Pajtim Kasami","Danny Murphy","Steve Sidwell","Clint Dempsey"," Orlando Sa"
"4237",4237,"2011-09-24","Wigan","Tottenham","Ali Al Habsi","Maynor Figueroa","Steve Gohouri","Patrick Van Aanholt","Gary Caldwell","Jordi GÛmez","James McCarthy","Ben Watson","Mo DiamÈ","Victor Moses","Franco Di Santo","Brad Friedel","Benoit Assou-Ekotto","YounËs Kaboul","Kyle Walker","Gareth Bale","Ledley King","Luka Modric","Scott Parker"," Sandro","Rafael van der Vaart","Emmanuel Adebayor"
"4238",4238,"2011-09-25","QPR","Aston Villa","Paddy Kenny","Luke Young","Anton Ferdinand","Fitz Hall","Shaun Derry","Armand TraorÈ","Joey Barton","Alejandro Faurlin","Adel Taarabt","Shaun Wright-Phillips","Jay Bothroyd","Shay Given","Alan Hutton","James M Collins","Richard Dunne","Stephen Warnock","Barry Bannan","Fabian Delph","Stephen Ireland","Charles N'Zogbia","Stilian Petrov","Gabby Agbonlahor"
"4239",4239,"2011-09-26","Norwich","Sunderland","John Ruddy","Leon Barnett","Marc Tierney","Russell Martin","Kyle Naughton","Elliott Bennett","Dave Fox","Wes Hoolahan","Bradley Johnson","Anthony Pilkington","Steve Morison","Simon Mignolet","Wes Brown","John O'Shea","Titus Bramble","Ahmed Elmohamady","Craig Gardner","Seb Larsson","Kieran Richardson","David Vaughan","Stephane Sessegnon","Nicklas Bendtner"
"4240",4240,"2011-10-01","Aston Villa","Wigan","Shay Given","Alan Hutton","James M Collins","Richard Dunne","Stephen Warnock","Barry Bannan","Fabian Delph","Stephen Ireland","Stilian Petrov","Gabby Agbonlahor","Darren Bent","Ali Al Habsi","Maynor Figueroa","Patrick Van Aanholt","Gary Caldwell","Emmerson Boyce","Ronnie Stam","James McCarthy","Ben Watson","Mo DiamÈ","Victor Moses","Franco Di Santo"
"4241",4241,"2011-10-01","Blackburn","Man City","Paul Robinson","Gael Givet","Scott Dann","Christopher Samba","Jason Lowe","Steven N'Zonzi","Morten Gamst Pedersen","Radosav Petrovic","Junior Hoilett","David Goodwillie"," Yakubu Ayegbeni","Joe Hart","Aleksandar Kolarov","Pablo Zabaleta","Vincent Kompany","Joleon Lescott","James Milner"," David Silva","Adam Johnson","Yaya TourÈ","Sergio Ag¸ero","Mario Balotelli"
"4242",4242,"2011-10-01","Everton","Liverpool","Tim Howard","Sylvain Distin","Seamus Coleman","Tony Hibbert","Phil Jagielka","Jack Rodwell","Leighton Baines","Marouane Fellaini","Leon Osman","Tim Cahill","Louis Saha","Pepe Reina","Martin Kelly","Martin äkrtel","Jamie Carragher"," Lucas Leiva","Jose Enrique","Charlie Adam","Stewart Downing","Dirk Kuyt","Andy Carroll","Luis Su·rez"
"4243",4243,"2011-10-01","Man United","Norwich","Anders Lindegaard","Jonny Evans","Phil Jones","Antonio Valencia","Patrice Evra"," Anderson","Darren Fletcher","PARK Ji-Sung"," Nani","Javier Hern·ndez","Wayne Rooney","John Ruddy","Leon Barnett","Marc Tierney","Russell Martin","Kyle Naughton","Elliott Bennett","Dave Fox","Wes Hoolahan","Bradley Johnson","Anthony Pilkington","Steve Morison"
"4244",4244,"2011-10-01","Sunderland","West Brom","Simon Mignolet","Wes Brown","John O'Shea","Michael Turner","Ahmed Elmohamady","Craig Gardner","Seb Larsson","Kieran Richardson","Lee Cattermole","Stephane Sessegnon","Nicklas Bendtner","Ben Foster","Gareth McAuley","Jonas Olsson","Steven Reid","Nicky Shorey","Chris Brunt","James Morrison","Youssef Mulumbu","Graeme Dorrans","Shane Long","Peter Odemwingie"
"4245",4245,"2011-10-01","Wolves","Newcastle","Wayne Hennessey","Christophe Berra","Richard Stearman","Roger Johnson","Stephen Ward","Karl Henry","Stephen Hunt","Matt Jarvis","Jamie O'Hara","Kevin Doyle","Steven Fletcher","Tim Krul","Danny Simpson","Steven Taylor","Fabricio Coloccini","Jonas Gutierrez","Ryan Taylor","Cheik TiotÈ","Yohan Cabaye","Gabriel Obertan","Demba Ba","Leon Best"
"4246",4246,"2011-10-02","Bolton","Chelsea","¡d·m Bogd·n","Dedryck Boyata","Paul Robinson","Gretar Steinsson","Gary Cahill","Ricardo Gardner","Darren Pratley","Nigel Reo-Coker","Kevin Davies","David N'Gog","Martin Petrov","Petr Cech","John Terry","Jose Bosingwa"," David Luiz","Ashley Cole"," Juan Mata","Frank Lampard"," Ramires"," Raul Meireles","Didier Drogba","Daniel Sturridge"
"4247",4247,"2011-10-02","Fulham","QPR","Mark Schwarzer","Zdenek Grygera","John Arne Riise","Brede Hangeland","Chris Baird","Moussa DembÈlÈ","Danny Murphy","Steve Sidwell","Clint Dempsey","Andrew Johnson","Bobby Zamora","Paddy Kenny","Luke Young","Anton Ferdinand","Fitz Hall","Shaun Derry","Bradley Orr","Joey Barton","Alejandro Faurlin","Adel Taarabt","Shaun Wright-Phillips","Jay Bothroyd"
"4248",4248,"2011-10-02","Swansea","Stoke","Michel Vorm","Angel Rangel","Ashley Williams","Garry Monk","Neil Taylor","Joe Allen","Mark Gower","Wayne Routledge","Nathan Dyer","Danny Graham","Scott Sinclair","Asmir Begovic","Andy Wilkinson","Ryan Shawcross","Jonathan Woodgate","Rory Delap","Marc Wilson","Jermaine Pennant","Glenn Whelan","Dean Whitehead","Jon Walters","Peter Crouch"
"4249",4249,"2011-10-02","Tottenham","Arsenal","Brad Friedel","Benoit Assou-Ekotto","YounËs Kaboul","Kyle Walker","Gareth Bale","Ledley King","Luka Modric","Scott Parker","Rafael van der Vaart","Emmanuel Adebayor","Jermain Defoe","Wojciech Szczesny","Bakary Sagna","Per Mertesacker","Kieran Gibbs","Mikel Arteta","Francis Coquelin","Aaron Ramsey","Alex Song"," Gervinho","Robin Van Persie","Theo Walcott"
"4250",4250,"2011-10-15","Chelsea","Everton","Petr Cech","John Terry","Jose Bosingwa","Branislav Ivanovic","Ashley Cole"," Juan Mata","Frank Lampard","John Obi Mikel"," Ramires","Didier Drogba","Daniel Sturridge","Tim Howard","Sylvain Distin","Seamus Coleman","Tony Hibbert","Phil Jagielka","Jack Rodwell","Leighton Baines","Marouane Fellaini","Leon Osman","Tim Cahill","Louis Saha"
"4251",4251,"2011-10-15","Liverpool","Man United","Pepe Reina","Martin Kelly","Martin äkrtel","Jamie Carragher"," Lucas Leiva","Jose Enrique","Charlie Adam","Stewart Downing","Steven Gerrard","Dirk Kuyt","Luis Su·rez","David De Gea","Jonny Evans","Chris Smalling","Rio Ferdinand","Phil Jones","Patrice Evra","Darren Fletcher","Ryan Giggs","PARK Ji-Sung","Ashley Young","Danny Welbeck"
"4252",4252,"2011-10-15","Man City","Aston Villa","Joe Hart","Micah Richards","Vincent Kompany","Joleon Lescott","Gareth Barry","James Milner","GaÎl Clichy","Nigel De Jong","Adam Johnson","Yaya TourÈ","Mario Balotelli","Shay Given","Alan Hutton","Richard Dunne","Ciaran Clark","Stephen Warnock","Fabian Delph","Stephen Ireland","Stilian Petrov","Gabby Agbonlahor","Darren Bent","Emile Heskey"
"4253",4253,"2011-10-15","Norwich","Swansea","John Ruddy","Leon Barnett","Marc Tierney","Russell Martin","Kyle Naughton","Elliott Bennett","Dave Fox","Wes Hoolahan","Bradley Johnson","Anthony Pilkington","Steve Morison","Michel Vorm","Angel Rangel","Ashley Williams","Garry Monk","Neil Taylor","Joe Allen","Leon Britton","Wayne Routledge","Nathan Dyer","Danny Graham","Scott Sinclair"
"4254",4254,"2011-10-15","QPR","Blackburn","Paddy Kenny","Luke Young","Anton Ferdinand","Fitz Hall","Shaun Derry","Armand TraorÈ","Joey Barton","Alejandro Faurlin","Jamie Mackie","Shaun Wright-Phillips","Heidar Helguson","Paul Robinson","Michel Salgado","Gael Givet","Scott Dann","Christopher Samba","Martin Olsson","Jason Lowe","Steven N'Zonzi","Radosav Petrovic","Junior Hoilett","Jason Roberts"
"4255",4255,"2011-10-15","Stoke","Fulham","Asmir Begovic","Andy Wilkinson","Ryan Shawcross","Matthew Upson","Rory Delap","Marc Wilson","Matthew Etherington","Jermaine Pennant","Glenn Whelan","Jon Walters","Peter Crouch","Mark Schwarzer","Aaron Hughes","John Arne Riise","Brede Hangeland","Chris Baird","Moussa DembÈlÈ","Danny Murphy","Steve Sidwell","Clint Dempsey","Andrew Johnson","Bobby Zamora"
"4256",4256,"2011-10-15","Wigan","Bolton","Ali Al Habsi","Antolin Alcaraz","Steve Gohouri","Gary Caldwell","Emmerson Boyce","David Jones","James McCarthy","Ben Watson","Mo DiamÈ","Victor Moses","Franco Di Santo","Jussi J‰‰skel‰inen","Dedryck Boyata","Paul Robinson","Gary Cahill","David Wheater","Chris Eagles","Darren Pratley","Nigel Reo-Coker","Kevin Davies","David N'Gog","Martin Petrov"
"4257",4257,"2011-10-16","Arsenal","Sunderland","Wojciech Szczesny","Carl Jenkinson","Laurent Koscielny","Per Mertesacker","Kieran Gibbs","Mikel Arteta","Tomas Rosicky","Alex Song"," Gervinho","Robin Van Persie","Theo Walcott","Simon Mignolet","Wes Brown","John O'Shea","Michael Turner","Jack Colback","Ahmed Elmohamady","Seb Larsson","Kieran Richardson","Lee Cattermole","David Vaughan","Stephane Sessegnon"
"4258",4258,"2011-10-16","Newcastle","Tottenham","Tim Krul","Danny Simpson","Steven Taylor","Fabricio Coloccini","Jonas Gutierrez","Ryan Taylor","Cheik TiotÈ","Yohan Cabaye","Gabriel Obertan","Demba Ba","Leon Best","Brad Friedel","Benoit Assou-Ekotto","YounËs Kaboul","Kyle Walker","Gareth Bale","Ledley King","Jake Livermore","Luka Modric","Scott Parker","Rafael van der Vaart","Emmanuel Adebayor"
"4259",4259,"2011-10-16","West Brom","Wolves","Ben Foster","Billy Jones","Gareth McAuley","Jonas Olsson","Paul Scharner","Steven Reid","Chris Brunt","Youssef Mulumbu","Somen Tchoyi","Jerome Thomas","Shane Long","Wayne Hennessey","Christophe Berra","Richard Stearman","Roger Johnson","Stephen Ward","Adam Hammill","Karl Henry","Matt Jarvis","Nenad Milijaö","Jamie O'Hara","Kevin Doyle"
"4260",4260,"2011-10-22","Aston Villa","West Brom","Shay Given","Alan Hutton","James M Collins","Richard Dunne","Chris Herd","Stephen Warnock","Barry Bannan","Charles N'Zogbia","Stilian Petrov","Gabby Agbonlahor","Darren Bent","Ben Foster","Billy Jones","Gareth McAuley","Jonas Olsson","Paul Scharner","Steven Reid","Chris Brunt","Youssef Mulumbu","Jerome Thomas","Shane Long","Peter Odemwingie"
"4261",4261,"2011-10-22","Bolton","Sunderland","Jussi J‰‰skel‰inen","Dedryck Boyata","Paul Robinson","Gary Cahill","David Wheater","Chris Eagles","Darren Pratley","Nigel Reo-Coker","Kevin Davies","David N'Gog","Martin Petrov","Simon Mignolet","Wes Brown","John O'Shea","Michael Turner","Jack Colback","Seb Larsson","Kieran Richardson","David Vaughan","Stephane Sessegnon","Nicklas Bendtner","Connor Wickham"
"4262",4262,"2011-10-22","Liverpool","Norwich","Pepe Reina","Martin äkrtel","Glen Johnson","Jamie Carragher","Jose Enrique","Charlie Adam","Stewart Downing","Steven Gerrard","Dirk Kuyt","Craig Bellamy","Luis Su·rez","John Ruddy","Leon Barnett","Marc Tierney","Russell Martin","Kyle Naughton","Elliott Bennett","Dave Fox","Wes Hoolahan","Bradley Johnson","Anthony Pilkington","Steve Morison"
"4263",4263,"2011-10-22","Newcastle","Wigan","Tim Krul","Danny Simpson","Steven Taylor","Fabricio Coloccini","Jonas Gutierrez","Ryan Taylor","Cheik TiotÈ","Yohan Cabaye","Gabriel Obertan","Demba Ba","Leon Best","Ali Al Habsi","Antolin Alcaraz","Maynor Figueroa","Gary Caldwell","Emmerson Boyce","Albert Crusat","David Jones","Ben Watson","Mo DiamÈ","Victor Moses","Hugo Rodallega"
"4264",4264,"2011-10-22","Wolves","Swansea","Wayne Hennessey","Christophe Berra","Richard Stearman","Roger Johnson","Stephen Ward","Adam Hammill","Karl Henry","Matt Jarvis","Jamie O'Hara","Kevin Doyle","Sylvan Ebanks-Blake","Michel Vorm","Angel Rangel","Ashley Williams","Garry Monk","Neil Taylor","Joe Allen","Leon Britton","Mark Gower","Nathan Dyer","Danny Graham","Scott Sinclair"
"4265",4265,"2011-10-23","Arsenal","Stoke","Wojciech Szczesny"," Andre Santos","Laurent Koscielny","Johann Djourou","Per Mertesacker","Mikel Arteta","Aaron Ramsey","Alex Song","Marouane Chamakh"," Gervinho","Theo Walcott","Asmir Begovic","Andy Wilkinson","Ryan Shawcross","Matthew Upson","Rory Delap","Marc Wilson","Matthew Etherington","Glenn Whelan","Dean Whitehead","Jon Walters","Peter Crouch"
"4266",4266,"2011-10-23","Blackburn","Tottenham","Paul Robinson","Gael Givet","Christopher Samba","Martin Olsson","Mauro Formica","Jason Lowe","Steven N'Zonzi","Morten Gamst Pedersen","Simon Vukcevic","Junior Hoilett","Jason Roberts","Brad Friedel","Benoit Assou-Ekotto","SÈbastien Bassong","YounËs Kaboul","Kyle Walker","Gareth Bale","Aaron Lennon","Luka Modric","Scott Parker","Rafael van der Vaart","Emmanuel Adebayor"
"4267",4267,"2011-10-23","Fulham","Everton","Mark Schwarzer","Zdenek Grygera","John Arne Riise","Brede Hangeland","Chris Baird","Moussa DembÈlÈ","Danny Murphy","Steve Sidwell","Clint Dempsey","Andrew Johnson","Bobby Zamora","Tim Howard","Sylvain Distin","Tony Hibbert","Phil Jagielka","Phil Neville","Jack Rodwell","Leighton Baines","Roysten Drenthe","Marouane Fellaini","Leon Osman","Apostolos Vellios"
"4268",4268,"2011-10-23","Man United","Man City","David De Gea","Jonny Evans","Chris Smalling","Rio Ferdinand","Patrice Evra"," Anderson","Darren Fletcher"," Nani","Ashley Young","Wayne Rooney","Danny Welbeck","Joe Hart","Micah Richards","Vincent Kompany","Joleon Lescott","Gareth Barry","James Milner","GaÎl Clichy"," David Silva","Yaya TourÈ","Sergio Ag¸ero","Mario Balotelli"
